"y" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10"
"75" -0.3977 0.0665 -0.1018 0.0287 0.0986 -0.0272 0.1124 0.0286 -0.0329 -0.0182 0.0216
"76" -0.3024 0.1403 0.0022 -0.0253 0.0557 0.0024 0.0397 0.0743 -0.0192 0.0054 0.0515
"77" -0.2584 -0.0094 0.1193 0.0183 -0.2001 0.0942 0.1058 -0.1094 0.0266 -0.1143 0.0339
"78" -0.5819 -0.0371 0.0455 0.0475 -0.0484 0.0283 0.0669 -0.0221 0.0402 -0.1088 -0.007
"79" 2.2419 0.1277 0.0535 0.0346 0.0626 -0.0029 0.0708 0.1118 0.0017 0.0073 0.0086
"80" 0.7126 -0.0267 0.0822 0.0495 -0.0442 0.0214 -0.0019 -0.0113 -0.0028 -0.0505 0.025
"81" 1.9526 0.209 0.1011 -0.0388 0.0975 0.0166 0.1053 0.0597 -0.0121 0.0444 0.0517
"82" 1.2573 0.1271 0.1352 -0.0564 -0.1811 0.1287 0.0754 -0.0514 0.0806 -0.0628 0.0488
"83" 1.0992 0.0463 -0.0907 -0.0595 0.0076 0.0107 0.0454 -0.0814 -0.043 0.0263 0.0537
"84" -1.5556 0.0632 0.0401 0.0127 0.1555 -0.0519 0.0838 0.205 0.0224 -0.0332 -0.0424
"85" -1.2718 0.068 0.0222 -0.0393 -0.0298 0.0323 0.0385 0.0178 0.0142 -0.0146 0.0285
"86" -0.4604 0.031 -0.1635 0.0114 0.026 -0.0364 0.0237 -0.0803 -0.0019 0.0468 0.0865
"87" -1.1012 -0.1281 -0.0624 0.0199 0.042 -0.0532 -0.1694 -0.0526 -0.0145 0.0756 -0.0417
"88" -0.6412 -0.0611 -0.0897 0.0145 0.0432 -0.051 -0.0585 -0.0013 -0.0518 0.0659 -0.0238
"89" 0.7209 0.0355 -0.0747 0.017 0.047 -0.0354 -0.0651 -0.0114 -0.009 0.1048 -0.0014
"90" 0.8231 -0.0018 -0.0168 0.0103 -0.087 0.0332 0.0018 -0.0463 0.0556 -0.0097 -0.0083
"91" -0.9999 -0.0861 0.0884 0.0481 -0.0045 -0.0228 -0.1732 0.1365 0.0642 -0.0056 -0.104
"92" 0.8768 0.1146 -0.041 -0.0262 0.0923 -0.026 0.0552 0.0457 -0.025 0.0514 0.0498
"93" 0.6436 -0.0252 0.0817 -0.0483 -0.0588 0.0205 -0.1584 -0.0277 0.0153 0.1039 -0.0748
"94" -0.5052 0.0437 0.0306 -0.0091 -0.0375 0.0399 0.0873 -0.0686 -0.0337 -0.047 0.0817
"95" -1.0299 -0.0963 -7e-04 0.0487 -0.0337 -0.0132 0.0019 -0.0207 -0.0199 -0.0749 0.0216
"96" -0.6375 -0.0031 0.1286 -0.0088 0.0778 -0.0162 -0.0277 0.1952 0.0276 -0.015 -0.1772
"97" -0.3407 -0.0014 0.0819 -0.0471 0.1094 -0.043 -0.0253 0.0857 -0.0074 -0.0211 0.0091
"98" -1.2384 -0.1945 -0.0239 0.0785 0.0834 -0.1031 -0.1212 0.0917 -0.0081 0.0082 -0.1094
"99" -0.6398 0.0927 0.0877 -0.0296 -0.0352 0.0661 0.0582 -0.0069 -0.006 -0.0223 5e-04
"100" -0.2862 -0.1554 -0.0228 0.0277 -0.1638 0.031 -0.0925 -0.0886 -0.0348 -0.0267 -0.0313
"101" -2.1725 0.0409 0.0081 0.0048 -0.2265 0.0899 0.0678 -0.1476 0.0516 -0.0528 0.0969
"102" -0.2578 0.1385 0.0358 -0.0194 -0.0976 0.0775 -0.0015 -0.0307 0.0116 0.0389 0.0567
"103" -1.333 -0.0731 -0.0262 0.0397 -0.0726 0.0137 0.0298 -0.0041 0.0235 -0.1061 0.0066
"104" -0.1504 -0.0214 -0.0059 0.1038 -0.1028 0.0067 -0.0639 0.0915 0.0436 -0.0227 -0.0379
"105" -0.2936 0.0249 0.1221 -0.0355 0.025 0.0071 -0.0186 0.0932 0.0279 -5e-04 -0.0536
"106" 2.4022 0.1278 -0.0018 -0.0539 0.0422 0.0284 0.1298 -0.0306 -0.0221 -0.0227 0.0871
"107" 1.3657 0.1489 -0.0855 -0.075 0.1523 -0.0353 0.0983 -0.0236 -0.0341 0.0769 0.0662
"108" -1.2518 -0.1158 -0.1078 0.1125 -0.0791 -0.0327 0 -0.0747 -0.0456 -0.0172 0.0405
"109" -0.2196 0.0102 0.0812 -0.0558 0.0413 0.0178 0.0048 0.0065 -0.0038 -0.0138 -0.0439
"110" 1.5668 0.0195 0.054 -0.0175 0.0459 -0.0201 -0.0251 0.1253 0.0404 0.0023 -0.0343
"111" 1.9886 0.0185 -0.007 -0.0462 0.1566 -0.063 -0.0931 0.0901 -0.0069 0.0579 -0.0238
"112" -1.5288 -0.0133 -1e-04 0.0418 -0.1245 0.0455 0.0251 -0.0492 0.0063 -0.0528 -0.0013
"113" -0.6683 -0.0678 -0.081 0.0175 0.0962 -0.079 -0.025 0.0651 -0.0042 0.0299 0.0129
"114" 1.3234 0.1285 -0.0515 -0.02 0.028 0.0025 0.0543 0.0398 9e-04 0.0396 0.0508
"115" 0.5269 0.0523 0.1346 -0.0403 -0.0475 0.0628 0.1055 0.0546 -0.0192 -0.0505 -0.0695
"116" 0.8687 -0.1028 -0.0049 0.027 0.133 -0.0979 -0.0694 0.155 8e-04 0.0262 -0.0797
"117" -1.9366 -0.1288 -0.0382 0.0269 -0.1286 0.0308 0.0636 -0.1584 0.0253 -0.0943 0.0477
"118" 1.6142 0.1184 -0.0354 -0.0557 0.0267 0.0233 0.1115 -0.0528 -0.0045 0.011 0.0689
"119" 0.2291 -0.0873 -0.0161 -0.0172 0.0381 -0.0263 -0.0603 0.0037 0.0117 0.0044 -0.0635
"120" 0.3044 -0.007 -0.0522 0.0333 -0.052 0.0119 -0.0548 -0.0693 -0.0201 0.011 0.052
"121" 0.7091 0.0133 -0.0733 0.0358 0.0491 -0.0341 0.0187 0.028 -0.0399 0.039 0.0117
"122" -2.2843 -2e-04 -0.0159 0.0101 0.0168 -0.0268 -0.0491 0.0407 0.0373 0.0295 0.0137
"123" 0.4306 -0.0029 0.044 0.031 0.1097 -0.0396 -0.0236 0.1272 0.0171 -0.0143 -0.0737
"124" 0.0746 -0.0348 -0.1394 0.0736 0.0441 -0.0559 -0.102 0.0406 -0.0145 0.0814 -0.0131
"125" -0.2234 0.1217 0.0242 0.0225 0.1439 -0.0232 0.1878 0.075 -0.0419 -0.0519 0.0354
"126" -1.4832 0.0494 -0.0743 -0.0513 0.04 -0.0033 -0.0131 0.0151 0.051 0.047 -0.0012
"127" 0.2995 -0.0556 -0.174 -0.0192 0.1805 -0.1229 -0.1182 -0.0377 -0.0901 0.209 -0.0215
"128" -0.6782 -0.0661 0.0735 0.0127 0.0605 -0.0223 -0.0341 0.0774 -0.0012 -0.0288 -0.0765
"129" -0.9545 0.0084 -0.2143 0.0144 0.2206 -0.1185 0.1064 0.0496 -0.1045 0.0645 0.0133
"130" -1.7402 -0.019 0.0871 -0.0045 -0.1189 0.0592 -1e-04 -0.0474 0.0562 -0.0437 -0.0105
"131" 0.5157 0.0193 -0.0485 0.053 0.092 -0.0672 0.0111 0.1045 -0.037 0.04 -0.0086
"132" -0.1182 -0.0518 -0.0197 0.0027 -0.0141 -0.0086 0.0323 -0.0293 -0.0365 -0.0038 -0.0133
"133" -1.1285 -0.0052 -0.0258 0.0149 0.1377 -0.0542 0.0366 0.0512 -0.0431 -0.0174 0.0073
"134" 0.4874 0.0812 -0.0524 0.0083 0.0489 -0.004 0.0636 -0.0266 -0.0488 0.0429 0.0439
"135" -0.1298 -0.0991 -0.0645 0.0265 -0.1091 0.0137 0.0039 -0.0973 0.0405 -0.0748 0.0769
"136" 0.5378 0.1165 -0.0046 -0.0417 0.0825 -0.0119 0.018 0.0513 -0.0317 0.0755 -0.0224
"137" 0.4674 -0.0572 0.0038 -0.0159 0.1579 -0.064 -0.0533 0.0686 -0.0159 0.0092 -0.0671
"138" -0.9417 -0.0572 0.0626 -0.008 -0.0969 0.0419 0.0179 -0.0647 -0.0224 -0.0463 -0.0229
"139" 1.0465 0.011 -0.0478 0.0026 0.029 -0.023 0.0096 -0.0242 0.0096 0.0066 0.051
"140" 0.4092 -0.054 -0.0529 0.0246 0.1003 -0.0622 -0.0885 0.0752 0.0274 -0.0209 -0.0228
"141" -0.1117 -0.0524 0.0466 -0.0503 -0.1411 0.0561 -0.1142 -0.1179 0.0349 0.0595 -0.0405
"142" -0.8889 -0.1411 -0.0246 0.0764 0.0551 -0.0835 -0.0683 0.1542 0.0099 -0.0067 -0.1253
"143" 1.6245 0.0215 0.0366 0.0427 0.0958 -0.0462 0.1161 0.0932 -0.0114 -0.0605 0.0242
"144" -1.0319 0.104 -0.1518 -0.0554 0.0408 0.0109 0.1162 -0.1655 -0.0291 0.0164 0.169
"145" -1.7136 -0.1093 -0.0112 0.0526 -0.1167 0.0138 -0.017 0.0109 0.008 -0.0906 -0.0124
"146" -0.4646 -0.0901 0.0275 -0.0127 -0.1329 0.0345 -0.1296 -0.0698 0.0577 0.0013 -0.0019
"147" -0.261 0.0323 -0.1489 0.0126 -0.0863 0.0162 0.0218 -0.1603 -0.0198 0.0665 0.0884
"148" 1.386 0.124 0.0715 -0.0907 -0.0412 0.0716 0.1016 -0.0064 0.0088 -0.0211 0.0296
"149" 0.076 -0.1223 0.0296 0.0277 -0.1635 0.0323 -0.1022 -0.0587 0.0297 -0.0307 -0.0279
"150" -1.7049 0.0139 0.0097 -0.0651 -0.1217 0.0608 -0.0664 -0.1589 0.0335 0.0623 0.0477
"151" 0.1345 -0.0885 8e-04 -0.0149 0.1147 -0.0655 -0.1 0.0328 -0.023 0.0498 -0.0681
"152" -1.7651 0.0612 -0.0269 -0.0884 0.0382 0.003 -0.0042 -0.0287 0.0052 0.0588 0.0178
"153" -1.0818 -0.0027 0.0731 0.069 -0.2958 0.1255 0.1302 -0.1367 0.0318 -0.1414 0.0732
"154" 1.9641 0.1569 -0.0108 -0.0247 -0.0527 0.0733 0.0747 -0.0916 0.045 -0.0078 0.1124
"155" 0.5521 0.0526 0.1202 -0.0438 -0.0114 0.0224 -0.0161 0.0814 0.0437 -0.0174 -0.0351
"156" 0.316 0.0154 0.0661 -0.0071 0.2285 -0.0891 -0.0863 0.2917 0.0176 0.0195 -0.1438
"157" -1.8574 0.0032 -0.0027 -0.0553 0.0147 0.003 0.0173 -0.0407 0.0296 -0.0138 0.0449
"158" 3.6779 -0.0297 0.0045 0.0323 0.0268 -0.0216 -0.0029 0.0237 0.0097 -0.0065 -0.0293
"159" 1.1126 -0.1074 -0.0177 0.0375 0.0956 -0.0711 -0.0513 0.0224 -0.0125 0.009 -0.0444
"160" 0.5701 -0.1059 -0.0206 0.0357 -0.0303 -0.0048 0.0141 -0.0755 -0.0257 -0.0043 -0.0217
"161" 0.019 -0.0022 -0.0474 -0.0281 -0.0724 0.0459 0.0283 -0.1662 -0.0191 -0.03 0.0888
"162" 0.6749 -0.0052 -0.0326 0.0261 0.0062 -0.0149 0.0114 -0.0362 -0.0377 0.0427 -0.0141
"163" -0.1839 0.0942 0.1312 -0.0359 -0.071 0.0752 0.0753 -0.0011 0.0417 -0.0446 0.0281
"164" -1.4225 0.0182 -0.0348 0.0228 -0.154 0.0588 0.0604 -0.1308 -0.0078 -0.0078 0.088
"165" -0.4514 -0.0754 0.1479 -0.0609 -0.0332 0.0261 -0.1107 -0.0558 0.0139 -0.0092 -0.0205
"166" 0.7178 0.0426 -0.0161 0.0317 0.0845 -0.0207 0.1009 0.1468 -0.007 -0.0695 -0.0285
"167" -0.9393 -0.2239 0.0936 0.1236 -0.1743 0.0143 -0.0984 0.0344 0.0377 -0.0982 -0.1274
"168" 0.8868 0.0543 0.0677 0.0391 0.1115 -0.0426 0.0333 0.1951 0.0255 -0.0215 -0.038
"169" 2.0785 -0.0133 -0.0914 -0.0555 -0.0424 0.0051 -0.03 -0.1216 -0.0059 0.036 0.0623
"170" -0.8996 0.0635 -0.1324 0.031 -0.1026 0.0474 0.1234 -0.1103 -0.004 -0.0452 0.0957
"171" -0.8203 0.0982 -0.0231 -0.0964 0.0977 -0.0048 -0.0049 0.0088 0.0222 0.0579 -0.0102
"172" -0.3459 0.0936 0.0985 -0.1241 -0.0947 0.0996 0.0676 -0.1176 0.0199 -0.0306 0.0559
"173" 0.2315 -0.0203 -0.0476 -0.0284 0.0212 -0.0211 -0.0604 0.0113 -0.0516 0.0788 -0.0285
"174" 1.1531 0.1152 -0.1165 0.02 0.054 -0.0197 0.0027 0.0198 0.0041 0.0658 0.0763
"175" -1.4734 0.0871 -0.0656 -3e-04 -0.0406 0.0246 -0.0252 0.0139 0.0387 0.0528 -0.0133
"176" 1.3561 0.1359 -0.1171 0.0632 -0.0539 0.0345 0.111 -0.0059 -0.0565 -0.008 0.1201
"177" -1.6837 -0.0122 -0.0697 0.0907 -0.1165 0.019 0.0156 -0.0106 -0.0032 -0.0457 0.0206
"178" 0.1658 0.0552 -0.0654 0.0093 0.0828 -0.0227 0.0661 0.0022 -0.0018 -0.0062 0.0507
"179" 0.1755 0.0177 -0.0422 -0.0611 -0.0076 0.002 -0.0362 -0.0976 0.0148 0.044 0.0509
"180" 1.5874 -0.0587 0.0255 -0.0295 0.0171 -0.0252 -0.1021 0.0349 0.0129 0.0017 -0.0295
"181" 0.0994 0.0978 0.0028 -0.0169 -0.0434 0.0499 0.09 -0.0151 0.0098 -0.0391 0.0561
"182" -0.5022 0.2097 -0.0589 -0.0569 0.0736 0.03 0.1286 -0.0634 -0.0472 0.0738 0.0824
"183" -0.0456 -0.0782 -0.1717 -0.0036 0.0227 -0.0481 -0.0973 -0.0872 -0.0709 0.088 0.0281
"184" -1.4202 -0.0612 -0.0437 0.0172 0.0815 -0.0627 -0.0361 0.081 -0.0116 0.002 -0.0355
"185" 1.5122 0.0595 0.0477 -0.0204 0.0018 0.0108 0.001 0.0046 0.0139 0.033 0.004
"186" 2.5905 0.069 -0.0543 -0.017 0.0384 0.0152 0.1019 -0.0855 -0.056 -0.0077 0.0664
"187" -0.2047 -0.071 0.1125 -0.0023 -0.1851 0.0765 -0.0267 -0.142 -0.0024 -0.039 0.0244
"188" -0.2732 0.0772 -0.0458 -0.0124 0.1271 -0.0397 0.0045 -0.0036 -0.0217 0.0537 0.0411
"189" 1.4487 0.0511 0.0497 -0.0315 0.0641 -0.003 9e-04 0.0143 -0.017 0.0217 0.0278
"190" -0.9169 -0.0391 -0.014 0.0402 -0.0511 0.0103 0.0428 -0.0717 -0.043 -0.003 0.007
"191" -0.0485 0.0638 -0.0786 -0.0012 0.0976 -0.049 0.0079 0.0655 -0.0061 0.0638 0.0025
"192" 1.9151 -0.0268 0.0933 -6e-04 0.0771 -0.0112 -0.0285 0.0343 -0.0144 -0.0115 -0.0542
"193" 0.0331 0.1044 -0.0629 -0.0447 0.0128 0.0263 0.1336 -0.0926 -0.0789 0.043 0.0795
"194" 0.6894 0.0789 -0.0401 -0.0356 -0.0488 0.049 0.0486 -0.0694 -0.0082 -0.0074 0.0573
"195" -2.2832 0.1184 -0.1513 0.003 -0.0295 0.0247 0.0605 -0.0875 -0.0287 0.0608 0.1088
"196" 1.0717 -0.03 -0.0259 -0.0044 -0.0498 0.0186 0.0257 -0.0357 -0.0171 -0.0208 -0.0261
"197" -0.1981 -0.0297 0.0655 -0.0305 -0.1191 0.0779 -0.0059 -0.1752 -0.0301 -0.0326 0.0208
"198" -0.6309 -0.094 0.0886 -0.0032 -0.0826 0.0414 -0.0239 -0.0692 -0.0102 -0.0712 -0.0252
"199" -0.5895 -0.1493 -0.0776 0.1053 -0.2142 0.0435 -0.015 -0.1792 -0.0044 -0.0547 0.0467
"200" 0.4949 0.0175 0.0587 -0.0049 0.1085 -0.0515 -0.0098 0.1447 -0.0067 0.0332 -0.0716
"201" 0.9682 -0.051 0.0384 0.0158 -0.0457 0.0043 -0.0155 0.0504 0.0195 -0.0597 -0.0161
"202" 0.2074 0.0831 0.0034 -0.0308 -0.0322 0.0271 0.0608 -0.0696 -0.0089 0.0256 0.0843
"203" -1.4721 -0.1082 0.1156 -0.0199 -0.0177 0.0085 -0.0763 0.0335 -0.0203 -0.0349 -0.1032
"204" 1.2925 0.0686 -0.0104 -0.0689 0.0082 0.0279 -0.0153 -0.1202 -0.0224 0.0956 0.0375
"205" -0.5203 -0.136 0.0566 0.0342 -0.1609 0.0387 -0.0329 -0.0909 0.0368 -0.0675 -0.0388
"206" 1.0318 -0.0312 0.0784 0.0177 0.0651 -0.0319 0.0313 0.0753 -3e-04 -0.0402 -0.0238
"207" -0.3125 -0.0732 -0.0094 0.083 0.0238 -0.0518 -0.012 0.1628 -0.0021 -0.0567 -0.08
"208" 0.0818 -0.0771 -0.1296 0.0484 0.0551 -0.0519 -0.0133 -0.0294 -0.0507 0.04 -0.0165
"209" -2.5936 0.0882 0.0545 -0.0598 -0.0403 0.0568 0.1012 -0.1027 0.008 -0.0413 0.1157
"210" 1.5432 0.07 0.0289 -0.0133 -0.0306 0.0432 0.0631 0.0089 0.0214 -0.0515 0.0052
"211" 0.7523 0.0306 -0.0917 0.0537 0.0815 -0.0518 -0.0147 0.0465 -0.0456 0.089 5e-04
"212" -1.186 0.007 0.0405 0.0471 -0.0369 0.0112 0.0224 -0.0637 0.0316 -0.0324 0.0512
"213" -1.22 0.0343 0.0416 0.0402 0.0121 0.0038 -0.0287 0.1349 0.0127 -0.0469 -0.0467
"214" 1.4113 0.0715 0.1124 -0.0644 0.2138 -0.0636 -0.022 0.251 0.0668 0.0082 -0.0781
"215" -0.7878 0.2089 -0.1597 -0.0561 0.0737 -2e-04 0.1181 -0.054 -0.0683 0.101 0.1144
"216" 1.1735 0.0142 -0.0319 0.0091 -0.0449 0.0294 0.0084 -0.0773 -0.0082 0.0493 -0.005
"217" -0.1379 0.0203 0.0306 -0.0286 -0.0619 0.0461 0.0393 -0.1524 -0.0228 0.03 0.0302
"218" -1.2291 -0.0567 0.0355 -0.0236 -0.0735 0.0255 -0.023 -0.1036 -0.0029 0.0034 0.0132
"219" -1.1042 -0.1577 0.0053 0.0413 0.0233 -0.0706 -0.1223 0.0619 0.0242 -0.0148 -0.0449
"220" -0.3161 -0.093 -0.066 0.0766 -0.0808 -0.0038 -0.0546 -0.0464 -0.0531 -0.04 0.0333
